MA,FA,Cs,EA,Pb,Sn,Cl,Br,I,PCE,V_OC,J_SC,FF,Eg
0,0.83,0.17,0,0.999,0.001,0,0,3,7.9,0.91,121.5,0.7,1.53
0,0.83,0.17,0,0.99,0.01,0,0,3,6.35,0.775,130,0.648,1.52
0,0.83,0.17,0,0.9,0.1,0,0,3,9.35,0.74,190,0.6305,1.44
0,0.83,0.17,0,1,0,0,0.51,2.49,15.4,1.02,205,0.71,1.63
0,0.83,0.17,0,1,0,0,0.6,2.4,18.5,1.115,224,0.775,1.61
0,0.83,0.17,0,1,0,0,0.75,2.25,15.85,1.115,182.5,0.77,1.715
0,0.83,0.17,0,1,0,0,0.81,2.19,14.3,1.09,182,0.71,1.7
0,0.83,0.17,0,1,0,0,0.8,2.2,15.87,1.194,193.7,0.687,1.72
0,0.83,0.17,0,1,0,0,1.2,1.8,15.2,1.15,187,0.727,1.74
0,0.83,0.17,0,1,0,0,1.5,1.5,12.29,1.175,158,0.692,1.86
0,0.83,0.17,0,1,0,0,1.8,1.2,13.3,1.286,147,0.704,1.93
0,0.83,0.17,0,1,0,0,1,2,16.24,1.19,195.6,0.76,1.67
0,0.83,0.17,0,1,0,0,0,3,15.4,0.97,212,0.72,1.55
0.83,0,0.17,0,1,0,0,0,3,18.12,1.04,229.2,0.76,1.633
0.8,0.1,0.1,0,1,0,0,0,3,14.4,1.035,197.2,0.714,1.5
0.7,0.2,0.1,0,1,0,0,0,3,17.5,1.12,210,0.71,1.62
0.54,0.36,0.1,0,1,0,0,0.2,2.8,10.57,0.018,9.03,0.66,1.59
0.36,0.54,0.1,0,1,0,0,0,3,19.4,1.082,233,0.8,1.51
0.153,0.747,0.1,0,1,0,0,0.51,2.49,19.6,1.14,223,0.77,1.73
0.15,0.75,0.1,0,0.25,0.75,0,0.5,2.5,9.73,0.68,201.9,0.66,1.29
0.15,0.75,0.1,0,0.5,0.5,0,0.5,2.5,12.215,0.72,231.4,0.65,1.31
0.15,0.75,0.1,0,0.75,0.25,0,0.5,2.5,14.66,0.83,223.9,0.73,1.36
0.15,0.75,0.1,0,1,0,0,0.45,2.55,13.7,0.931,206,0.711,1.63
0.15,0.75,0.1,0,1,0,0,0.51,2.49,16.3,1.049,207,0.75,1.63
0.15,0.75,0.1,0,1,0,0,0.5,2.5,12.08,1.025,162.6,0.72,1.61
0.15,0.75,0.1,0,1,0,0,1,2,17.345,1.16,183.6,0.741,1.735
0.15,0.75,0.1,0,0,1,0,0.5,2.5,2.62,0.41,89.8,0.65,1.44
0.135,0.765,0.1,0,1,0,0,0.45,2.55,15.71,1.061,212.8,0.696,1.611
0.14,0.76,0.1,0,1,0,0,0.51,2.49,18.4,1.098,221,0.775,1.61
0.09,0.81,0.1,0,1,0,0,0.1,2.9,21.7,1.13,241,0.81,1.55
0,0.9,0.1,0,1,0,0,0.09,2.91,16.5,1.03,225,0.71,1.54
0,0.9,0.1,0,1,0,0,0.13,2.87,17.04,1.08,195.9,0.803,1.645
0,0.9,0.1,0,1,0,0,0.1,2.9,17.72,1.024,226.2,0.765,1.55
0,0.9,0.1,0,1,0,0,0.3,2.7,17.42,1.07,224,0.762,1.55
0,0.9,0.1,0,1,0,0,0.6,2.4,15.4,1.14,200,0.71,1.61
0,0.9,0.1,0,1,0,0,0.9,2.1,18.62,1.1725,203.35,0.781,1.678
0,0.9,0.1,0,1,0,0,3,0,6.21,1.234,70.7,0.711,2.277
0,0.9,0.1,0,1,0,0,0,3,16.015,1.02,233,0.729,1.509
0.9,0,0.1,0,0.25,0.75,0,0,3,6.38,0.48,218.4,0.609,1.27
0.9,0,0.1,0,0.5,0.5,0,0,3,10.07,0.7,233.2,0.617,1.29
0.9,0,0.1,0,0.75,0.25,0,0,3,14.55,0.84,228,0.76,1.39
0.9,0,0.1,0,1,0,0,1.2,1.8,12.8,1.2,151,0.69,1.82
0.9,0,0.1,0,1,0,0,1,2,16.1,1.13,173,0.822,1.77
