entry_id,compound,efficiency (%),Open circuit voltage (V),Short circuit current density (A/m²),Fill factor,Band gap (eV)
-JuLp9wjsbPAun7hnNbOcX4dLvTW,Cs0.1FA0.75MA0.15PbBr0.35I2.65,19.61,1.14,227.8,0.755,
-JvPQfqdg7gf46XphjGv6MjDAWT6,CsPbBr3,8.18,1.1,108.0,0.6890000000000001,
-K6DGot1BARdoQgzlzfEQLNcT5ST,MAPbI3,12.2,1.001,177.0,0.6829999999999999,1.6
-K93Pg0Tta0oHkSpgsi0Ec5N-a69,FA0.83MA0.17PbI3,21.73,1.137,242.5,0.795,
-KJyLETKGDyM4RxqeLHtyd8O6RPC,FA0.85MA0.15PbBr0.15I0.85,15.77,,,,1.63
-K_1xdVLkcyAhmvzTHu5a0lf6aYk,(CIEA)0.05MA0.95PbI3,17.45,1.07,222.0,0.736,1.61
-KgbEwPQYtnZ2z_sD07fTKU1ybkT,MAPbI3,3.6,0.847,84.2,0.496,1.6
-KlJM7V6PsLVukEeXFmGmcvA7_Fp,Cs0.05FA0.79MA0.16PbBr0.51I2.49,12.36,0.944,212.2,0.617,
-Kq9Ay_f-LkzEg-P1hwkvxO3zyo8,FA0.85MA0.15PbBr0.45I2.55,20.41,1.092,223.5,0.836,
-LH_6bNHhpcbC5ZumhMc9UgeYx-r,FA0.5MA0.5Pb0.5Sn0.5I3,18.13,0.87,283.8,0.87,1.23
-LRptRt8GY7kdvpRP6Zk_y5tZgSh,Cs0.05FA0.81MA0.14PbBr0.45I2.55,21.18,1.19,228.4,0.779,1.6
-LqSBj7zOwzl8HnvSedIWpQkoub8,CsPbBrI,16.96,1.16,185.3,0.7879999999999999,1.7500000000000002
-M5QB1Pll31akfVNln51PfGxbNd8,MAPbI3,14.8,1.03,182.0,0.736,1.6
-M5aGovYZhQFbo24cxddTSTLdSpi,MAPbI3,7.74,0.74,180.0,0.58,1.6
-MEe2-ucteIT8vnnP_1qAoyQP5G9,Cs0.15FA0.85PbI3,14.6,1.03,222.10000000000002,0.64,
-MK_JhOXgMAmp0TEtSywXcyWOzBJ,MAPbI3,14.9,1.05,193.0,0.74,1.6
-MXIqZZw_NHCNKrNI3SGAlLEpcdb,MAPbI3,15.57,1.04,210.9,0.71,1.6
-Mf9a3lkJ9kUj8OUgaGyCPI0QBC8,MAPbI3,12.1,0.977,185.0,0.727,1.6
-MkqjGw8W8lYj8aXhNE2IKQMyUY9,MAPbI3,15.2,0.96,201.0,0.78,1.6
-MngOBBImCCMSzBoIZj4hTbX9CyB,MAPbI3,12.34,1.039,197.10000000000002,0.609,1.63
-MnibvZC9Pl-HHBxoiKneFE4uNUG,Cs0.05FA0.79MA0.16PbBr0.51I2.49,15.39,0.98,232.8,0.67,
-MoFRZXlQVl68z3LR8nFemex5kxr,MAPbI3,9.75,0.93,174.4,0.6,1.6
-N1igYPo9Fitdgv8MU-xNhtLGm5T,MAPbI3,9.3,1.075,160.99,0.536,1.6
-N5wstULyxzCu3F8guTMFtncMNmh,Cs0.05FA0.79MA0.16PbBr0.51I2.49,16.62,1.03,219.8,0.7340000000000001,
-N6qJUYs0qxd9aikCQ_xpFgnNaSx,CsPbBr2I,3.01,1.26,62.9,0.38,2.07
-NEHb6RaFoC1VvB4Dc6ZpIRHu6rY,MAPbI3,16.86,1.0,226.0,0.74,1.56
-NJ2TjXXnbGf4jJaC74NHTArt1PN,MAPbI3,11.16,1.053,165.6,0.64,1.6
-NJh8VckAJo3-ALvL6MOmlzHuEL9,MAPbI3,10.01,0.99,158.1,0.64,1.61
-NQcXUuL9tU5xi09vDZJceaIkro5,FA0.5MA0.5Pb0.5Sn0.5I3,9.0,0.48,287.0,0.66,1.2
-NSxVQiXKfY7OE5zMJNvkSJpijlF,MABiSbI9,0.1,0.59,2.7,0.64,
-NVFD3CB0bWXVMOuicdAQ7Ao7FIE,MAPbI3,19.82,1.13,224.89999999999998,0.78,1.6
-NX3wHjKfDP3xEl42QEFtwuu8JB3,FA0.05MA0.95PbI3,12.35,0.991,209.8,0.594,1.5
-NZcPJJTJtC1yE_CmMovJVjcx4-A,MAPbI3,13.2,1.06,195.0,0.643,1.6
-NdE3UuZMTmj94JiOwUhrK76awVj,Cs0.05FA0.83MA0.12PbBr0.36I2.64,21.53,1.2,221.5,0.81,1.61
-NiPMe3bA1Q8s4eKLTch_VQs_3KV,MAPbI3,12.69,0.88,223.5,0.65,1.6
-NpS7RbeCnrpiRwNiMuq8SjXR--s,CsPbI3,13.6,1.03,183.0,0.72,
-NwcQkK7a4HnsgLUu5bdRxZY7KTB,MAPbI3,16.8,1.03,211.0,0.7709999999999999,1.6
-Nxbc5LO9wZ6-XNT5N92hNnr4e31,MAPbI3,15.18,0.938,227.3,0.7120000000000001,1.6
-NyxaS0smagU6toWZF5HvItK6HXQ,MAPbI3,11.1,0.94,179.0,0.66,1.6
-O-RbbgIUAN633sGnghbVHotFf2M,FA0.85MA0.15PbBr0.45I2.55,16.62,0.99,216.70000000000002,0.77,
-O1_5Nt4cP8gMxSWv9LL4X-nw8uc,MAPbI3,17.5,1.08,213.9,0.758,1.6
-O6rax4VjeYofnKf2EAPgfEpPmsq,MAPbBr0.75I2.25,18.4,1.14,203.0,0.7959999999999999,1.6999999999999997
-O8M5CKuDO3mnIG-7gP7EXJ47TIG,MAPbI3,0.4,0.35,45.0,0.26,1.6
-OJq88uStKI-K7aN1mR5GI_y5RYB,MAPbI3,6.37,,,,1.6
-OOhPMlnZEabxC3ZFoI4WVSgCgtY,FA0.29MA0.71PbBr0.3I2.7,16.02,1.01,223.29999999999998,0.71,
-OVZ1l-VSxrOrbubNeiYXdT4ShOh,CsPb0.997Zn0.003Br3,7.66,1.485,63.4,0.813,
-OXj5HTfcgl9cToHzuYl8ZLBVWFe,MAPbBr1.25I75,8.56,1.07,122.2,0.65,1.76
-OcOAAp6KO7mDPomxZ6SCVedyh_t,Cs0.07FA0.7MA0.23PbBr0.69I2.31,20.1,1.121,241.0,0.767,
-OeH768yYozd1X3DzHW9-gAOW1fl,CsSnBr2I,1.08,0.575,34.13,0.5479999999999999,1.63
-OvhNqmYEauHmx1yD6jIQ1NQs5Je,MAPbI3,17.53,1.04,224.8,0.75,1.6
