compound,MA,FA,Cs,EA,Pb,Sn,Cl,Br,I,efficiency (%),Open circuit voltage (V),Short circuit current density (A/m²),Fill factor,Band gap (eV),n_reports
EA0.4MA0.6PbI3,0.6,0.0,0.0,0.4,1.0,0.0,0.0,0.0,3.0,8.95,0.96,182.0,0.522,1.59,1
EA0.5MA0.5PbBr3,0.5,0.0,0.0,0.5,1.0,0.0,0.0,3.0,0.0,3.0,1.49,31.7,0.585,2.38,2
EA0.5MA0.5PbI3,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,3.0,7.21,1.03,145.2,0.497,1.59,1
FA0.026MA0.974PbI3,0.974,0.026,0.0,0.0,1.0,0.0,0.0,0.0,3.0,19.47,1.043,246.7,0.764,1.516,4
FA0.02MA0.98PbI3,0.98,0.02,0.0,0.0,1.0,0.0,0.0,0.0,3.0,13.13,0.99,181.8,0.728,1.51,1
FA0.05MA0.95PbI3,0.95,0.05,0.0,0.0,1.0,0.0,0.0,0.0,3.0,15.625,1.034,219.1,0.682,1.5,8
FA0.125MA0.875PbBrI2,0.875,0.125,0.0,0.0,1.0,0.0,0.0,1.0,2.0,13.93,1.151,168.4,0.718,1.71,1
FA0.125MA0.875PbI3,0.875,0.125,0.0,0.0,1.0,0.0,0.0,0.0,3.0,18.01,1.08,219.7,0.759,1.5499999999999998,1
FA0.15MA0.85PbBr2.55I0.45,0.85,0.15,0.0,0.0,1.0,0.0,0.0,2.55,0.45,13.2,1.04,191.0,0.66,1.5300000000000002,6
FA0.15MA0.85PbI3,0.85,0.15,0.0,0.0,1.0,0.0,0.0,0.0,3.0,21.4,1.12,238.5,0.79,1.63,3
FA0.17MA0.83PbBr0.5I2.5,0.83,0.17,0.0,0.0,1.0,0.0,0.0,0.5,2.5,16.01,1.042,227.37,0.6759999999999999,1.6249999999999998,1
FA0.17MA0.83PbBr1.5I1.5,0.83,0.17,0.0,0.0,1.0,0.0,0.0,1.5,1.5,8.68,1.069,103.29,0.789,1.8580000000000003,1
FA0.17MA0.83PbBr2.5I0.5,0.83,0.17,0.0,0.0,1.0,0.0,0.0,2.5,0.5,2.31,0.951,28.27,0.8590000000000001,2.153,1
FA0.17MA0.83PbBr2I,0.83,0.17,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.48,0.939,50.95,0.736,1.989,1
FA0.17MA0.83PbBr3,0.83,0.17,0.0,0.0,1.0,0.0,0.0,3.0,0.0,7.07,1.372,62.61,0.815,2.296,1
FA0.17MA0.83PbBrI2,0.83,0.17,0.0,0.0,1.0,0.0,0.0,1.0,2.0,12.22,1.125,167.07,0.647,1.764,1
FA0.17MA0.83PbI3,0.83,0.17,0.0,0.0,1.0,0.0,0.0,0.0,3.0,11.78,1.046,187.68,0.599,1.588,1
FA0.1MA0.9Pb0.9Sn0.1I3,0.9,0.1,0.0,0.0,0.9,0.1,0.0,0.0,3.0,12.1,0.77,212.3,0.75,1.4400000000000002,1
FA0.1MA0.9PbBr2.7I0.3,0.9,0.1,0.0,0.0,1.0,0.0,0.0,2.7,0.3,0.21,0.36,19.3,0.3,2.14,1
FA0.1MA0.9PbI3,0.9,0.1,0.0,0.0,1.0,0.0,0.0,0.0,3.0,15.46,1.025,210.45,0.69,1.565,37
FA0.25MA0.75Pb0.75Sn0.25I3,0.75,0.25,0.0,0.0,0.75,0.25,0.0,0.0,3.0,12.44,0.78,245.0,0.75,1.33,7
FA0.25MA0.75PbI3,0.75,0.25,0.0,0.0,1.0,0.0,0.0,0.0,3.0,13.03,0.877,221.5,0.6709999999999999,1.54,1
FA0.25MA0.75SnI3,0.75,0.25,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.43,0.53,207.0,0.524,1.3,7
FA0.2MA0.8PbI3,0.8,0.2,0.0,0.0,1.0,0.0,0.0,0.0,3.0,14.64,1.005,196.0,0.705,1.565,8
FA0.3MA0.7Pb0.3Sn0.7I3,0.7,0.3,0.0,0.0,0.3,0.7,0.0,0.0,3.0,12.0,0.74,270.0,0.6,1.33,1
FA0.3MA0.7Pb1.0I3,0.7,0.3,0.0,0.0,1.0,0.0,0.0,0.0,3.0,16.175,1.03,218.95,0.705,1.5499999999999998,8
FA0.3MA0.7PbBr0.15I2.85,0.7,0.3,0.0,0.0,1.0,0.0,0.0,0.15,2.85,16.72,1.06,204.8,0.77,1.6,1
FA0.3MA0.7PbBr0.3I2.7,0.7,0.3,0.0,0.0,1.0,0.0,0.0,0.3,2.7,17.34,1.0,215.7,0.78,1.59,3
FA0.3MA0.7PbBr0.45I2.55,0.7,0.3,0.0,0.0,1.0,0.0,0.0,0.45,2.55,16.4,1.11,189.4,0.78,1.66,1
FA0.3MA0.7PbBr0.6I2.4,0.7,0.3,0.0,0.0,1.0,0.0,0.0,0.6,2.4,15.01,1.11,173.4,0.78,1.69,1
FA0.3MA0.7PbBr2.1I0.9,0.7,0.3,0.0,0.0,1.0,0.0,0.0,2.1,0.9,0.85,0.82,20.0,0.51,2.03,1
FA0.3MA0.7PbI3,0.7,0.3,0.0,0.0,1.0,0.0,0.0,0.0,3.0,17.27,1.06,225.3,0.73,1.58,53
FA0.44MA0.56PbBr0.33I2.67,0.56,0.44,0.0,0.0,1.0,0.0,0.0,0.33,2.67,14.0,1.01,190.35,0.748,1.6200000000000003,3
FA0.48MA0.52PbI3,0.52,0.48,0.0,0.0,1.0,0.0,0.0,0.0,3.0,17.939999999999998,1.08,228.95,0.725,1.6200000000000003,2
FA0.4MA0.6Pb0.4Sn0.6I3,0.6,0.4,0.0,0.0,0.4,0.6,0.0,0.0,3.0,14.0,0.75,288.0,0.66,1.3,1
FA0.4MA0.6PbBr0.025I2.975,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.025,2.975,16.4,1.06,215.0,0.72,1.6,1
FA0.4MA0.6PbBr0.1I2.9,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.1,2.9,16.799999999999997,1.045,214.0,0.7424999999999999,1.56,10
FA0.4MA0.6PbBr0.2I2.8,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.2,2.8,15.1,1.03,215.7,0.71,1.58,9
FA0.4MA0.6PbBr0.6I2.4,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.6,2.4,13.35,1.065,176.0,0.71,1.6800000000000002,2
FA0.4MA0.6PbI3,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.0,3.0,13.4,0.9995,210.8,0.659,1.54,14
FA0.5MA0.5Pb0.5Sn0.5I3,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,3.0,13.93,0.73,283.8,0.7,1.25,27
FA0.5MA0.5Pb0.75Sn0.25I3,0.5,0.5,0.0,0.0,0.75,0.25,0.0,0.0,3.0,14.0,0.78,230.3,0.79,1.33,1
FA0.5MA0.5PbBr0.5I2.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,2.5,12.87,1.04,203.63,0.608,1.612,1
FA0.5MA0.5PbBr1.5I1.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.5,1.5,6.109999999999999,0.9490000000000001,89.735,0.43999999999999995,1.8325,2
FA0.5MA0.5PbBr2.5I0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,2.5,0.5,3.9,0.978,68.67999999999999,0.5820000000000001,2.141,1
FA0.5MA0.5PbBr2I,0.5,0.5,0.0,0.0,1.0,0.0,0.0,2.0,1.0,7.88,1.035,126.23,0.603,1.957,1
FA0.5MA0.5PbBr3,0.5,0.5,0.0,0.0,1.0,0.0,0.0,3.0,0.0,7.1,1.385,70.37,0.728,2.28,1
FA0.5MA0.5PbBrI2,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.0,2.0,15.33,1.104,200.36,0.685,1.751,1
FA0.5MA0.5PbI3,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,3.0,9.81,0.9,194.9,0.604,1.6,17
FA0.5MA0.5SnI3,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.07,0.63,134.8,0.477,1.38,1
FA0.65MA0.35PbI3,0.35,0.65,0.0,0.0,1.0,0.0,0.0,0.0,3.0,11.04,0.98,194.3,0.58,1.52,1
FA0.66MA0.34Pb0.25Sn0.75I3,0.34,0.66,0.0,0.0,0.25,0.75,0.0,0.0,3.0,7.1,0.5,222.0,0.63,1.26,1
FA0.66MA0.34Pb0.4Sn0.6I3,0.34,0.66,0.0,0.0,0.4,0.6,0.0,0.0,3.0,13.4,0.72,265.0,0.7,1.25,1
FA0.66MA0.34Pb0.5Sn0.5I3,0.34,0.66,0.0,0.0,0.5,0.5,0.0,0.0,3.0,14.3,0.75,271.0,0.71,1.26,8
FA0.66MA0.34Pb0.6Sn0.4I3,0.34,0.66,0.0,0.0,0.6,0.4,0.0,0.0,3.0,13.3,0.75,248.0,0.72,1.29,1
FA0.66MA0.34Pb0.75Sn0.25I3,0.34,0.66,0.0,0.0,0.75,0.25,0.0,0.0,3.0,12.0,0.75,211.0,0.75,1.32,1
FA0.66MA0.34PbBr0.42I2.58,0.34,0.66,0.0,0.0,1.0,0.0,0.0,0.42,2.58,16.9,1.04,221.0,0.74,1.6200000000000003,1
FA0.66MA0.34PbI3,0.34,0.66,0.0,0.0,1.0,0.0,0.0,0.0,3.0,16.3,1.005,223.0,0.76,1.533,3
FA0.66MA0.34SnI3,0.34,0.66,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.1,0.19,9.0,0.52,1.45,1
FA0.67MA0.33PbBr0.5I2.5,0.33,0.67,0.0,0.0,1.0,0.0,0.0,0.5,2.5,19.93,1.1165,232.415,0.7605,1.638,2
FA0.67MA0.33PbBr1.5I1.5,0.33,0.67,0.0,0.0,1.0,0.0,0.0,1.5,1.5,11.7,1.114,153.29000000000002,0.687,1.848,1
FA0.67MA0.33PbBr2.5I0.5,0.33,0.67,0.0,0.0,1.0,0.0,0.0,2.5,0.5,3.4,0.921,72.47999999999999,0.513,2.115,1
FA0.67MA0.33PbBr2I,0.33,0.67,0.0,0.0,1.0,0.0,0.0,2.0,1.0,5.64,0.999,95.49,0.5920000000000001,1.9690000000000003,1
FA0.67MA0.33PbBr3,0.33,0.67,0.0,0.0,1.0,0.0,0.0,3.0,0.0,5.53,1.351,69.87,0.5820000000000001,2.28,1
FA0.67MA0.33PbBrI2,0.33,0.67,0.0,0.0,1.0,0.0,0.0,1.0,2.0,18.54,1.151,214.35,0.748,1.6819999999999995,1
FA0.67MA0.33PbI3,0.33,0.67,0.0,0.0,1.0,0.0,0.0,0.0,3.0,13.86,0.971,227.04,0.628,1.528,1
FA0.6MA0.4Pb0.4Sn0.6Br0.12I2.88,0.4,0.6,0.0,0.0,0.4,0.6,0.0,0.12,2.88,18.44,0.87,286.8,0.7390000000000001,1.26,1
FA0.6MA0.4Pb0.4Sn0.6Br0.18I2.82,0.4,0.6,0.0,0.0,0.4,0.6,0.0,0.18,2.82,18.625,0.885,286.54999999999995,0.7445,1.272,2
FA0.6MA0.4Pb0.4Sn0.6Br0.24I2.76,0.4,0.6,0.0,0.0,0.4,0.6,0.0,0.24,2.76,18.58,0.882,285.4,0.738,1.28,1
FA0.6MA0.4Pb0.4Sn0.6Br0.3I2.7,0.4,0.6,0.0,0.0,0.4,0.6,0.0,0.3,2.7,10.25,0.69,246.6,0.69,1.33,7
FA0.6MA0.4Pb0.4Sn0.6Br0.48I2.52,0.4,0.6,0.0,0.0,0.4,0.6,0.0,0.48,2.52,17.84,0.884,279.5,0.722,1.32,1
FA0.6MA0.4Pb0.4Sn0.6I3,0.4,0.6,0.0,0.0,0.4,0.6,0.0,0.0,3.0,16.990000000000002,0.827,283.6,0.7115,1.25,14
FA0.6MA0.4Pb0.6Sn0.4I3,0.4,0.6,0.0,0.0,0.6,0.4,0.0,0.0,3.0,15.2,0.76,313.0,0.64,1.25,1
FA0.6MA0.4PbBr0.4I2.6,0.4,0.6,0.0,0.0,1.0,0.0,0.0,0.4,2.6,16.35,1.04,209.0,0.75,1.58,2
FA0.6MA0.4PbI3,0.4,0.6,0.0,0.0,1.0,0.0,0.0,0.0,3.0,14.305,0.98,214.45,0.6799999999999999,1.545,6
FA0.71MA0.29PbBr0.42I2.58,0.29,0.71,0.0,0.0,1.0,0.0,0.0,0.42,2.58,20.15,1.105,227.5,0.8,1.6200000000000003,2
FA0.75MA0.25Pb0.75Sn0.25I3,0.25,0.75,0.0,0.0,0.75,0.25,0.0,0.0,3.0,7.53,0.7,165.5,0.65,1.33,1
FA0.75MA0.25PbBr0.45I2.55,0.25,0.75,0.0,0.0,1.0,0.0,0.0,0.45,2.55,18.2,1.05,223.0,0.78,1.6200000000000003,1
FA0.75MA0.25PbBr0.51I2.49,0.25,0.75,0.0,0.0,1.0,0.0,0.0,0.51,2.49,10.1,0.906,186.0,0.6,1.65,1
FA0.75MA0.25PbBr0.75I2.25,0.25,0.75,0.0,0.0,1.0,0.0,0.0,0.75,2.25,14.95,1.0750000000000002,195.5,0.7115,1.61,2
FA0.75MA0.25PbI3,0.25,0.75,0.0,0.0,1.0,0.0,0.0,0.0,3.0,9.26,0.831,179.4,0.621,1.5300000000000002,1
FA0.75MA0.25SnI3,0.25,0.75,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.6,0.52,200.0,0.64,1.36,9
