compound,MA,FA,Cs,EA,Pb,Sn,Cl,Br,I,efficiency (%),Open circuit voltage (V),Short circuit current density (A/m²),Fill factor,Band gap (eV),n_reports
FA0.7MA0.3Pb0.5Sn0.5I3,0.3,0.7,0.0,0.0,0.5,0.5,0.0,0.0,3.0,17.6,0.7985,307.0,0.7,1.25,14
FA0.7MA0.3Pb0.7Sn0.3I3,0.3,0.7,0.0,0.0,0.7,0.3,0.0,0.0,3.0,9.7,0.72,190.0,0.65,1.26,7
FA0.7MA0.3PbBr0.10I2.90,0.3,0.7,0.0,0.0,1.0,0.0,0.0,0.1,2.9,17.4,1.06,234.0,0.7150000000000001,1.58,8
FA0.7MA0.3PbBr0.9I2.1,0.3,0.7,0.0,0.0,1.0,0.0,0.0,0.9,2.1,1.48,0.8,34.0,0.55,1.71,1
FA0.7MA0.3PbI3,0.3,0.7,0.0,0.0,1.0,0.0,0.0,0.0,3.0,15.23,1.05,230.5,0.6509999999999999,1.6,13
FA0.81MA0.19PbBr0.54I2.46,0.19,0.81,0.0,0.0,1.0,0.0,0.0,0.54,2.46,12.55,1.2,160.0,0.65,1.6200000000000003,4
FA0.82MA0.18PbBr0.53I2.47,0.18,0.82,0.0,0.0,1.0,0.0,0.0,0.53,2.47,11.100000000000001,1.145,156.5,0.615,1.64,2
FA0.83MA0.17PbBr0.03I2.97,0.17,0.83,0.0,0.0,1.0,0.0,0.0,0.03,2.97,15.9,1.1,201.0,0.75,1.6,5
FA0.83MA0.17PbBr0.33I2.67,0.17,0.83,0.0,0.0,1.0,0.0,0.0,0.33,2.67,19.37,1.04,244.8,0.76,1.59,3
FA0.83MA0.17PbBr0.39I2.61,0.17,0.83,0.0,0.0,1.0,0.0,0.0,0.39,2.61,16.75,1.0474999999999999,153.5,0.6799999999999999,1.6,8
FA0.83MA0.17PbBr0.46I2.54,0.17,0.83,0.0,0.0,1.0,0.0,0.0,0.46,2.54,18.0,1.12,210.0,0.75,1.57,7
FA0.83MA0.17PbBr0.47I2.53,0.17,0.83,0.0,0.0,1.0,0.0,0.0,0.47,2.53,17.310000000000002,1.1,223.5,0.702,1.61,6
FA0.83MA0.17PbBr0.49I2.51,0.17,0.83,0.0,0.0,1.0,0.0,0.0,0.49,2.51,16.08,1.08,223.1,0.68,1.6,7
FA0.83MA0.17PbBr0.50I2.50,0.17,0.83,0.0,0.0,1.0,0.0,0.0,0.5,2.5,11.649999999999999,0.99,158.0,0.73,1.627,6
FA0.83MA0.17PbBr0.51I2.49,0.17,0.83,0.0,0.0,1.0,0.0,0.0,0.51,2.49,15.71,1.06,205.0,0.7055,1.6200000000000003,123
FA0.83MA0.17PbBr0.52I2.48,0.17,0.83,0.0,0.0,1.0,0.0,0.0,0.52,2.48,13.35,1.125,185.5,0.655,1.64,6
FA0.83MA0.17PbBr0.5I2.5,0.17,0.83,0.0,0.0,1.0,0.0,0.0,0.5,2.5,16.73,1.085,214.5,0.6910000000000001,1.6,5
FA0.83MA0.17PbBr1.2I1.8,0.17,0.83,0.0,0.0,1.0,0.0,0.0,1.2,1.8,14.899999999999999,1.135,182.5,0.7150000000000001,1.72,2
FA0.83MA0.17PbBr1.5I1.5,0.17,0.83,0.0,0.0,1.0,0.0,0.0,1.5,1.5,10.655000000000001,1.0975000000000001,155.535,0.627,1.8530000000000002,2
FA0.83MA0.17PbBr2.5I0.5,0.17,0.83,0.0,0.0,1.0,0.0,0.0,2.5,0.5,3.3,0.878,88.43,0.425,2.113,1
FA0.83MA0.17PbBr2I,0.17,0.83,0.0,0.0,1.0,0.0,0.0,2.0,1.0,5.81,0.975,111.45,0.535,1.976,1
FA0.83MA0.17PbBr3,0.17,0.83,0.0,0.0,1.0,0.0,0.0,3.0,0.0,6.54,1.423,70.03999999999999,0.654,2.278,1
FA0.83MA0.17PbBrI2,0.17,0.83,0.0,0.0,1.0,0.0,0.0,1.0,2.0,14.72,1.178,190.96,0.652,1.684,1
FA0.83MA0.17PbI3,0.17,0.83,0.0,0.0,1.0,0.0,0.0,0.0,3.0,14.52,0.921,215.03,0.613,1.5350000000000001,2
FA0.84MA0.16PbBr0.4I2.6,0.16,0.84,0.0,0.0,1.0,0.0,0.0,0.4,2.6,18.884999999999998,1.089,223.6,0.771,1.5300000000000002,2
FA0.84MA0.16PbBr0.50I2.50,0.16,0.84,0.0,0.0,1.0,0.0,0.0,0.5,2.5,13.1,1.01,216.5,0.605,1.65,2
FA0.84MA0.16PbBr0.51I2.49,0.16,0.84,0.0,0.0,1.0,0.0,0.0,0.51,2.49,15.95,1.1,218.5,0.675,1.64,4
FA0.85MA0.15Pb1.0Br0.45I2.55,0.15,0.85,0.0,0.0,1.0,0.0,0.0,0.45,2.55,16.835,1.1,221.4,0.7709999999999999,1.59,8
FA0.85MA0.15PbBr0.21I2.79,0.15,0.85,0.0,0.0,1.0,0.0,0.0,0.21,2.79,16.82,1.05,228.2,0.7020000000000001,1.56,6
FA0.85MA0.15PbBr0.45I2.55,0.15,0.85,0.0,0.0,1.0,0.0,0.0,0.45,2.55,15.735,1.06,213.2,0.706,1.6,200
FA0.85MA0.15PbBr0.50I2.50,0.15,0.85,0.0,0.0,1.0,0.0,0.0,0.5,2.5,17.549999999999997,1.12,216.5,0.72,1.65,4
FA0.85MA0.15PbBr0.5I2.5,0.15,0.85,0.0,0.0,1.0,0.0,0.0,0.5,2.5,8.77,0.945,159.8,0.581,1.627,7
FA0.85MA0.15PbBr0.6I2.4,0.15,0.85,0.0,0.0,1.0,0.0,0.0,0.6,2.4,20.22,1.14,233.0,0.7609999999999999,1.616,1
FA0.85MA0.15PbI3,0.15,0.85,0.0,0.0,1.0,0.0,0.0,0.0,3.0,19.689999999999998,1.09,240.7,0.761,1.555,14
FA0.87MA0.13PbI3,0.13,0.87,0.0,0.0,1.0,0.0,0.0,0.0,3.0,18.09,1.0885,221.0,0.752,1.5,2
FA0.88MA0.12PbI3,0.12,0.88,0.0,0.0,1.0,0.0,0.0,0.0,3.0,16.6,1.06,233.0,0.725,1.5300000000000002,4
FA0.8MA0.2Pb0.8Sn0.2I3,0.2,0.8,0.0,0.0,0.8,0.2,0.0,0.0,3.0,6.0,0.53,272.0,0.4,1.27,1
FA0.8MA0.2PbBr0.2I2.8,0.2,0.8,0.0,0.0,1.0,0.0,0.0,0.2,2.8,12.75,0.955,190.5,0.665,1.5300000000000002,2
FA0.8MA0.2PbBr0.6I2.4,0.2,0.8,0.0,0.0,1.0,0.0,0.0,0.6,2.4,16.4,0.98,217.0,0.758,1.61,17
FA0.8MA0.2PbBr0.6I2.40,0.2,0.8,0.0,0.0,1.0,0.0,0.0,0.6,2.4,13.74,1.08,197.7,0.6679999999999999,1.5,5
FA0.8MA0.2PbI3,0.2,0.8,0.0,0.0,1.0,0.0,0.0,0.0,3.0,18.0,1.05,228.0,0.759,1.35,3
FA0.92MA0.08PbBr0.24I2.76,0.08,0.92,0.0,0.0,1.0,0.0,0.0,0.24,2.76,20.7,1.1,240.0,0.785,1.56,1
FA0.92MA0.08PbI3,0.08,0.92,0.0,0.0,1.0,0.0,0.0,0.0,3.0,21.37,1.12,242.4,0.7909999999999999,1.5499999999999998,19
FA0.95MA0.05PbBr0.15I2.85,0.05,0.95,0.0,0.0,1.0,0.0,0.0,0.15,2.85,20.1,1.085,234.0,0.8025,1.52,16
FA0.96MA0.04PbBr0.12I2.88,0.04,0.96,0.0,0.0,1.0,0.0,0.0,0.12,2.88,15.87,1.06,213.4,0.7,1.48,1
FA0.975MA0.025PbI3,0.025,0.975,0.0,0.0,1.0,0.0,0.0,0.0,3.0,19.16,1.08,231.3,0.77,1.48,1
FA0.976MA0.024PbBr0.075I2.925,0.024,0.976,0.0,0.0,1.0,0.0,0.0,0.075,2.925,19.65,1.1,248.5,0.7190000000000001,1.54,1
FA0.9MA0.1PbBr0.03I2.97,0.1,0.9,0.0,0.0,1.0,0.0,0.0,0.03,2.97,17.62,1.05,236.0,0.7120000000000001,1.581,1
FA0.9MA0.1PbBr0.1I2.9,0.1,0.9,0.0,0.0,1.0,0.0,0.0,0.1,2.9,18.8,1.06,230.5,0.7709999999999999,1.56,43
FA0.9MA0.1PbBr0.3I2.7,0.1,0.9,0.0,0.0,1.0,0.0,0.0,0.3,2.7,15.99,1.04,225.0,0.67,1.5,17
FA0.9MA0.1PbI3,0.1,0.9,0.0,0.0,1.0,0.0,0.0,0.0,3.0,17.845,1.06,232.9,0.778,1.525,16
FAPb0.125Sn0.875I3,0.0,1.0,0.0,0.0,0.125,0.875,0.0,0.0,3.0,0.05,0.06,29.46,0.3279999999999999,1.25,1
FAPb0.25Sn0.75I3,0.0,1.0,0.0,0.0,0.25,0.75,0.0,0.0,3.0,5.27,0.46,204.3,0.561,1.26,3
FAPb0.2Sn0.8I3,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.0,3.0,3.54,0.44999999999999996,162.0,0.476,1.29,2
FAPb0.375Sn0.625I3,0.0,1.0,0.0,0.0,0.375,0.625,0.0,0.0,3.0,6.19,0.537,176.35000000000002,0.545,1.21,1
FAPb0.4Sn0.6I3,0.0,1.0,0.0,0.0,0.4,0.6,0.0,0.0,3.0,7.890000000000001,0.602,253.8,0.516,1.29,2
FAPb0.5Sn0.5I3,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,3.0,10.055,0.6904999999999999,263.09999999999997,0.585,1.1949999999999998,16
FAPb0.625Sn0.375I3,0.0,1.0,0.0,0.0,0.625,0.375,0.0,0.0,3.0,6.55,0.679,118.13,0.738,1.24,1
FAPb0.75Sn0.25I3,0.0,1.0,0.0,0.0,0.75,0.25,0.0,0.0,3.0,8.795,0.75,187.8,0.647,1.38,4
FAPb0.7Sn0.3I3,0.0,1.0,0.0,0.0,0.7,0.3,0.0,0.0,3.0,12.690000000000001,0.73,238.65,0.735,1.34,8
FAPb0.875Sn0.125I3,0.0,1.0,0.0,0.0,0.875,0.125,0.0,0.0,3.0,0.54,0.3939999999999999,27.06,0.314,1.33,1
FAPb0.9Sn0.1I3,0.0,1.0,0.0,0.0,0.9,0.1,0.0,0.0,3.0,3.695,0.6054999999999999,198.95,0.305,1.43,2
FAPb1.0I3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.84,0.85,169.3,0.475,1.48,1
FAPbBr0.15I2.85,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.15,2.85,12.48,0.99,198.2,0.63,1.6200000000000003,1
FAPbBr0.5I2.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,2.5,9.57,1.202,142.65,0.5589999999999999,1.965,1
FAPbBr0.6I2.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6,2.4,9.1,1.0,136.0,0.67,1.57,1
FAPbBr1.5I1.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.5,1.5,8.92,1.0585,135.15,0.5835,1.93,2
FAPbBr2.1Cl0.9,0.0,1.0,0.0,0.0,1.0,0.0,0.9,2.1,0.0,2.38,1.14,34.300000000000004,0.61,2.44,1
FAPbBr2.25Cl0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.75,2.25,0.0,3.79,1.23,48.4,0.64,2.39,1
FAPbBr2.43Cl0.57,0.0,1.0,0.0,0.0,1.0,0.0,0.57,2.43,0.0,7.08,1.54,71.0,0.73,2.36,2
FAPbBr2.5I0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.5,0.5,5.01,1.061,96.71,0.488,2.105,1
FAPbBr2.67Cl0.33,0.0,1.0,0.0,0.0,1.0,0.0,0.33,2.67,0.0,8.22,1.49,75.1,0.73,2.3,1
FAPbBr2Cl,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.35,1.06,24.5,0.52,2.48,1
FAPbBr2I,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,7.52,1.138,127.69,0.518,1.9690000000000003,1
FAPbBr3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,5.5,1.32,66.0,0.67,2.27,11
FAPbBrI2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.9,0.986,38.86,0.498,2.268,1
FAPbI3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,12.805,0.997,205.0,0.654,1.48,546
FASn1.0I3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.76,0.3279999999999999,230.4,0.547,1.4,3
FASnBr0.24I2.76,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.24,2.76,3.3,0.3,185.0,0.57,1.47,1
FASnBr0.5I2.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,2.5,3.75,0.345,175.0,0.6,1.5300000000000002,1
FASnBr0.75I2.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.75,2.25,4.575,0.392,184.0,0.6545000000000001,1.63,2
FASnBr3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.56,0.35,101.9,0.71,1.6,1
FASnBrI2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.79,0.47,171.29999999999998,0.614,1.5499999999999998,7
FASnI3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.71,0.33,185.4,0.588,1.4,55
MAPb0.125Sn0.875I3,1.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0,3.0,1.53,0.238,142.0,0.45,1.18,1
MAPb0.25Sn0.75Br1.2I1.8,1.0,0.0,0.0,0.0,0.25,0.75,0.0,1.2,1.8,0.71,0.41,27.6,0.63,1.34,1
MAPb0.25Sn0.75I3,1.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,3.0,3.74,0.366,175.5,0.515,1.25,13
MAPb0.2Sn0.8Br0.4I2.6,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.4,2.6,7.88,0.79,158.8,0.625,1.26,1
MAPb0.2Sn0.8I3,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,3.0,7.335,0.6655,196.5,0.5614999999999999,1.2045,2
MAPb0.375Sn0.625I3,1.0,0.0,0.0,0.0,0.375,0.625,0.0,0.0,3.0,6.74,0.481,240.0,0.58,1.2,1
MAPb0.38Sn0.62I3,1.0,0.0,0.0,0.0,0.38,0.62,0.0,0.0,3.0,13.1,0.7829999999999999,250.4,0.6910000000000001,1.22,2
MAPb0.3Sn0.7I3,1.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,3.0,0.13,0.04,131.4,0.25,1.17,1
MAPb0.4Sn0.6Br0.4I2.6,1.0,0.0,0.0,0.0,0.4,0.6,0.0,0.4,2.6,11.754999999999999,0.795,205.2,0.7215,1.26,2
MAPb0.4Sn0.6Br0.6I2.4,1.0,0.0,0.0,0.0,0.4,0.6,0.0,0.6,2.4,11.5,0.71,238.2,0.68,1.24,1
MAPb0.4Sn0.6Br0.9I2.1,1.0,0.0,0.0,0.0,0.4,0.6,0.0,0.9,2.1,11.6,0.76,235.3,0.65,1.25,1
MAPb0.4Sn0.6Br1.2I1.8,1.0,0.0,0.0,0.0,0.4,0.6,0.0,1.2,1.8,11.9,0.78,209.5,0.73,1.26,1
MAPb0.4Sn0.6Br1.5I1.5,1.0,0.0,0.0,0.0,0.4,0.6,0.0,1.5,1.5,10.4,0.73,211.8,0.67,1.27,1
MAPb0.4Sn0.6Br1.8I1.2,1.0,0.0,0.0,0.0,0.4,0.6,0.0,1.8,1.2,10.9,0.76,213.8,0.67,1.29,1
MAPb0.4Sn0.6Br2.1I0.9,1.0,0.0,0.0,0.0,0.4,0.6,0.0,2.1,0.9,9.8,0.79,187.1,0.67,1.3,1
MAPb0.4Sn0.6Br2.4I0.6,1.0,0.0,0.0,0.0,0.4,0.6,0.0,2.4,0.6,9.2,0.74,196.2,0.64,1.32,1
MAPb0.4Sn0.6I3,1.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,3.0,10.0,0.767,205.0,0.631,1.27,1
MAPb0.50Sn0.50Br1.2I1.8,1.0,0.0,0.0,0.0,0.5,0.5,0.0,1.2,1.8,2.34,0.57,60.2,0.68,1.48,1
MAPb0.5Sn0.5Br0.6I2.4,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.6,2.4,16.29,0.895,243.7,0.7525,1.35,4
MAPb0.5Sn0.5I3,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,3.0,6.68,0.587,199.60000000000002,0.6074999999999999,1.22,20
MAPb0.625Sn0.375I3,1.0,0.0,0.0,0.0,0.625,0.375,0.0,0.0,3.0,10.87,0.69,244.0,0.645,1.25,1
MAPb0.65Sn0.35I3,1.0,0.0,0.0,0.0,0.65,0.35,0.0,0.0,3.0,9.37,0.75,210.3,0.6,1.25,1
MAPb0.6Sn0.4Br0.4I2.6,1.0,0.0,0.0,0.0,0.6,0.4,0.0,0.4,2.6,13.4,0.8,233.8,0.716,1.26,1
MAPb0.6Sn0.4I3,1.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,3.0,8.2,0.745,178.0,0.616,1.39,1
MAPb0.75Sn0.25Br0.3I2.7,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.3,2.7,14.49,0.85,218.6,0.78,1.43,1
MAPb0.75Sn0.25Br0.6I2.4,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.6,2.4,14.1,0.87,210.5,0.77,1.48,1
MAPb0.75Sn0.25Br0.9I2.1,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.9,2.1,13.41,0.9,196.0,0.76,1.5300000000000002,1
MAPb0.75Sn0.25Br1.2I1.8,1.0,0.0,0.0,0.0,0.75,0.25,0.0,1.2,1.8,11.93,0.91,172.5,0.76,1.59,2
MAPb0.75Sn0.25Br1.5I1.5,1.0,0.0,0.0,0.0,0.75,0.25,0.0,1.5,1.5,11.5,0.94,163.1,0.75,1.65,1
MAPb0.75Sn0.25Br1.8I1.2,1.0,0.0,0.0,0.0,0.75,0.25,0.0,1.8,1.2,11.805,1.0150000000000001,153.39999999999998,0.76,1.73,2
MAPb0.75Sn0.25Br2.1I0.9,1.0,0.0,0.0,0.0,0.75,0.25,0.0,2.1,0.9,6.31,1.01,93.3,0.67,1.8,1
MAPb0.75Sn0.25Br2.4I0.6,1.0,0.0,0.0,0.0,0.75,0.25,0.0,2.4,0.6,3.79,0.97,62.1,0.63,1.9,1
MAPb0.75Sn0.25Br2.7I0.3,1.0,0.0,0.0,0.0,0.75,0.25,0.0,2.7,0.3,2.52,0.91,44.7,0.62,1.99,1
MAPb0.75Sn0.25Br3,1.0,0.0,0.0,0.0,0.75,0.25,0.0,3.0,0.0,1.49,0.76,32.2,0.61,2.03,1
MAPb0.75Sn0.25I3,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,3.0,10.7,0.733,224.6,0.646,1.3,31
MAPb0.7Sn0.3I3,1.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,3.0,5.595,0.461,176.5,0.502,1.2850000000000001,2
MAPb0.85Sn0.15I3,1.0,0.0,0.0,0.0,0.85,0.15,0.0,0.0,3.0,9.485,0.74,208.5,0.5585,1.3450000000000002,6
MAPb0.875Sn0.125I3,1.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,3.0,13.64,0.813,216.0,0.7759999999999999,1.42,1
MAPb0.8Sn0.2Br0.4I2.6,1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.4,2.6,8.04,0.62,193.4,0.67,1.26,1
MAPb0.8Sn0.2I3,1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,3.0,5.9,0.773,118.0,0.65,1.5,1
MAPb0.95Sn0.05I3,1.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,3.0,11.63,0.969,206.4,0.581,1.5,2
MAPb0.9Sn0.1I3,1.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,3.0,9.52,0.906,203.2,0.546,1.5,6
MAPb1.0Br0.15I2.85,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15,2.85,13.43,1.01,203.3,0.655,1.57,2
MAPb1.0Br0.3I2.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,2.7,14.545000000000002,1.02,206.45,0.685,1.58,2
MAPb1.0Br0.45I2.55,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,2.55,14.245000000000001,1.02,205.8,0.6799999999999999,1.6,2
MAPb1.0Br0.6I2.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,2.4,12.815000000000001,1.0350000000000001,202.75,0.61,1.6200000000000003,2
MAPb1.0Br1.5I1.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,1.5,2.55,0.75,96.0,0.35,1.72,1
MAPb1.0Br3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.375,0.745,97.3,0.474,2.1100000000000003,2
MAPb1.0BrI2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.88,0.66,120.1,0.493,1.6,1
MAPb1.0Cl3,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.68,0.56,122.6,0.392,2.8,1
MAPb1.0ClI2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.58,0.5,95.6,0.3339999999999999,2.7,1
MAPb1.0I3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,12.8,0.99,201.6,0.68,1.5499999999999998,329
MAPbBr0.02I2.98,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,2.98,5.5,0.1,90.0,0.49,1.6,1
MAPbBr0.03I2.97,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,2.97,15.42,1.06,211.5,0.69,1.6,1
MAPbBr0.05I2.95,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,2.95,9.7,0.962,179.0,0.59,1.57,3
MAPbBr0.075I2.925,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.075,2.925,10.4,0.95,175.0,0.642,1.61,3
MAPbBr0.08I2.92,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08,2.92,7.0,0.742,162.0,0.5820000000000001,1.6,1
MAPbBr0.09I2.91,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,2.91,11.2,1.026,189.6,0.65,1.61,3
MAPbBr0.11I2.89,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11,2.89,16.75,1.052,230.8,0.69,1.585,1
MAPbBr0.12I2.88,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12,2.88,13.3,0.99,216.2,0.623,1.6,1
MAPbBr0.14I2.86,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14,2.86,18.02,1.064,235.2,0.72,1.591,1
MAPbBr0.15I2.85,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15,2.85,15.6,1.07,230.0,0.6970000000000001,1.59,9
MAPbBr0.18I2.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18,2.82,10.78,0.887,172.51999999999998,0.594,1.604,1
MAPbBr0.1I2.9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,2.9,14.23,1.005,215.4,0.66,1.6,6
MAPbBr0.225I2.775,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.225,2.775,12.57,1.045,180.0,0.657,1.62,2
MAPbBr0.25I2.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,2.75,10.77,0.98,167.8,0.66,1.65,1
MAPbBr0.2I2.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,2.8,15.53,1.02,211.0,0.7,1.6200000000000003,5
MAPbBr0.30I2.70,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,2.7,8.57,0.82,172.7,0.61,1.65,1
MAPbBr0.33I2.67,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,2.67,12.1,1.01,204.4,0.619,1.6200000000000003,9
MAPbBr0.36I2.64,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.36,2.64,8.13,0.89,138.9,0.653,1.6200000000000003,1
MAPbBr0.39I2.61,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.39,2.61,10.38,0.901,163.86,0.6,1.6410000000000002,1
MAPbBr0.3I2.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,2.7,14.07,1.05,193.0,0.69,1.5,23
MAPbBr0.45I2.55,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,2.55,8.38,0.87,174.1,0.568,1.65,3
MAPbBr0.4I2.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,2.6,15.75,1.0550000000000002,202.0,0.735,1.67,8
MAPbBr0.56I2.44,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.56,2.44,13.5,0.99,195.0,0.7,1.6800000000000002,1
MAPbBr0.5I2.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,2.5,11.03,1.0,182.87,0.6559999999999999,1.656,7
MAPbBr0.6Cl2.4,1.0,0.0,0.0,0.0,1.0,0.0,2.4,0.6,0.0,0.42,1.13,8.5,0.43,2.83,1
MAPbBr0.6I2.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,2.4,11.2,1.0,169.5,0.6465000000000001,1.6999999999999995,24
MAPbBr0.75I2.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,2.25,9.99,0.966,203.0,0.54,1.6999999999999995,5
MAPbBr0.78I2.22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.78,2.22,6.13,0.936,103.9,0.62,1.69,1
MAPbBr0.7I2.3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,2.3,10.39,0.99,186.6,0.56,1.6800000000000002,1
MAPbBr0.81I2.19,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.81,2.19,14.82,1.12,166.8,0.78,1.71,5
MAPbBr0.87I2.13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.87,2.13,13.055,1.0175,180.26,0.6635,1.7149999999999999,2
MAPbBr0.8I2.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,2.2,14.9,1.21,158.0,0.779,1.7500000000000002,1
MAPbBr0.9I2.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9,2.1,8.5,0.93,162.0,0.57,1.6999999999999995,7
MAPbBr1.14I1.86,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.14,1.86,7.5,,,,1.777,1
MAPbBr1.26I1.74,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.26,1.74,4.63,0.898,82.0,0.6579999999999999,1.7899999999999998,1
MAPbBr1.2I1.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2,1.8,8.7,1.06,121.0,0.69,1.7700000000000002,13
MAPbBr1.41I1.59,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.41,1.59,5.5,,,,1.7909999999999997,1
MAPbBr1.5Cl1.5,1.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,0.0,1.08,1.43,18.0,0.7,2.65,1
MAPbBr1.5I1.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,1.5,8.58,1.117,72.30000000000001,0.69,1.87,5
MAPbBr1.74I1.26,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.74,1.26,5.1,0.843,84.41000000000001,0.5489999999999999,1.924,1
MAPbBr1.77I1.23,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.77,1.23,2.8,0.8340000000000001,63.5,0.524,1.96,1
MAPbBr1.7I1.3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7,1.3,5.8,1.14,90.0,0.57,1.94,1
MAPbBr1.8I1.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.8,1.2,1.2,1.182,17.8,0.55,1.92,1
